fips,stateabbr,naics,month_code,yoy_growth,year,month_number,date
40,OK,TOTAL,yy201901,-0.7,2019,1,2019-01-01
41,OR,441,yy201901,-1.1,2019,1,2019-01-01
41,OR,442,yy201901,-2.2,2019,1,2019-01-01
41,OR,443,yy201901,6.6,2019,1,2019-01-01
41,OR,444,yy201901,8.5,2019,1,2019-01-01
41,OR,445,yy201901,3.5,2019,1,2019-01-01
41,OR,446,yy201901,-1.2,2019,1,2019-01-01
41,OR,447,yy201901,9.8,2019,1,2019-01-01
41,OR,448,yy201901,3.2,2019,1,2019-01-01
41,OR,451,yy201901,-7.8,2019,1,2019-01-01
41,OR,452,yy201901,3.0,2019,1,2019-01-01
41,OR,453,yy201901,-3.1,2019,1,2019-01-01
41,OR,TOTAL,yy201901,2.2,2019,1,2019-01-01
42,PA,441,yy201901,2.1,2019,1,2019-01-01
42,PA,442,yy201901,0.6,2019,1,2019-01-01
42,PA,443,yy201901,0.8,2019,1,2019-01-01
42,PA,444,yy201901,17.5,2019,1,2019-01-01
42,PA,445,yy201901,7.5,2019,1,2019-01-01
42,PA,446,yy201901,-6.3,2019,1,2019-01-01
42,PA,447,yy201901,-10.6,2019,1,2019-01-01
42,PA,448,yy201901,0.4,2019,1,2019-01-01
42,PA,451,yy201901,-35.8,2019,1,2019-01-01
42,PA,452,yy201901,2.3,2019,1,2019-01-01
42,PA,453,yy201901,0.9,2019,1,2019-01-01
42,PA,TOTAL,yy201901,0.6,2019,1,2019-01-01
44,RI,441,yy201901,1.1,2019,1,2019-01-01
