fips,stateabbr,naics,month_code,standard_error,year,month_number,date
22,LA,TOTAL,se201901,1.2,2019,1,2019-01-01
23,ME,441,se201901,6.1,2019,1,2019-01-01
23,ME,442,se201901,7.5,2019,1,2019-01-01
23,ME,443,se201901,17.0,2019,1,2019-01-01
23,ME,444,se201901,6.3,2019,1,2019-01-01
23,ME,445,se201901,4.9,2019,1,2019-01-01
23,ME,446,se201901,2.4,2019,1,2019-01-01
23,ME,447,se201901,3.4,2019,1,2019-01-01
23,ME,448,se201901,2.1,2019,1,2019-01-01
23,ME,451,se201901,4.2,2019,1,2019-01-01
23,ME,452,se201901,5.4,2019,1,2019-01-01
23,ME,453,se201901,6.0,2019,1,2019-01-01
23,ME,TOTAL,se201901,2.0,2019,1,2019-01-01
24,MD,441,se201901,3.4,2019,1,2019-01-01
24,MD,442,se201901,5.4,2019,1,2019-01-01
24,MD,443,se201901,7.0,2019,1,2019-01-01
24,MD,444,se201901,4.4,2019,1,2019-01-01
24,MD,445,se201901,2.1,2019,1,2019-01-01
24,MD,446,se201901,1.5,2019,1,2019-01-01
24,MD,447,se201901,3.5,2019,1,2019-01-01
24,MD,448,se201901,4.2,2019,1,2019-01-01
24,MD,451,se201901,4.5,2019,1,2019-01-01
24,MD,452,se201901,2.8,2019,1,2019-01-01
24,MD,453,se201901,3.7,2019,1,2019-01-01
24,MD,TOTAL,se201901,1.4,2019,1,2019-01-01
25,MA,441,se201901,3.6,2019,1,2019-01-01
25,MA,442,se201901,5.0,2019,1,2019-01-01
25,MA,443,se201901,6.6,2019,1,2019-01-01
25,MA,444,se201901,3.9,2019,1,2019-01-01
25,MA,445,se201901,1.5,2019,1,2019-01-01
25,MA,446,se201901,1.2,2019,1,2019-01-01
25,MA,447,se201901,2.4,2019,1,2019-01-01
25,MA,448,se201901,4.0,2019,1,2019-01-01
25,MA,451,se201901,5.5,2019,1,2019-01-01
25,MA,452,se201901,3.4,2019,1,2019-01-01
25,MA,453,se201901,3.4,2019,1,2019-01-01
25,MA,TOTAL,se201901,1.1,2019,1,2019-01-01
26,MI,441,se201901,3.0,2019,1,2019-01-01
26,MI,442,se201901,4.4,2019,1,2019-01-01
26,MI,443,se201901,6.2,2019,1,2019-01-01
26,MI,444,se201901,3.5,2019,1,2019-01-01
26,MI,445,se201901,2.7,2019,1,2019-01-01
26,MI,446,se201901,1.1,2019,1,2019-01-01
26,MI,447,se201901,2.5,2019,1,2019-01-01
26,MI,448,se201901,3.6,2019,1,2019-01-01
26,MI,451,se201901,7.3,2019,1,2019-01-01
26,MI,452,se201901,2.9,2019,1,2019-01-01
26,MI,453,se201901,3.7,2019,1,2019-01-01
26,MI,TOTAL,se201901,1.2,2019,1,2019-01-01
27,MN,441,se201901,3.3,2019,1,2019-01-01
27,MN,442,se201901,6.0,2019,1,2019-01-01
27,MN,443,se201901,9.4,2019,1,2019-01-01
27,MN,444,se201901,3.7,2019,1,2019-01-01
27,MN,445,se201901,3.2,2019,1,2019-01-01
27,MN,446,se201901,1.6,2019,1,2019-01-01
27,MN,447,se201901,2.4,2019,1,2019-01-01
27,MN,448,se201901,5.2,2019,1,2019-01-01
27,MN,451,se201901,6.6,2019,1,2019-01-01
27,MN,452,se201901,2.3,2019,1,2019-01-01
27,MN,453,se201901,3.6,2019,1,2019-01-01
27,MN,TOTAL,se201901,1.2,2019,1,2019-01-01
28,MS,441,se201901,5.1,2019,1,2019-01-01
28,MS,442,se201901,9.6,2019,1,2019-01-01
28,MS,443,se201901,11.1,2019,1,2019-01-01
28,MS,444,se201901,5.2,2019,1,2019-01-01
28,MS,445,se201901,5.8,2019,1,2019-01-01
28,MS,446,se201901,1.9,2019,1,2019-01-01
28,MS,447,se201901,3.1,2019,1,2019-01-01
28,MS,448,se201901,3.9,2019,1,2019-01-01
28,MS,451,se201901,12.9,2019,1,2019-01-01
28,MS,452,se201901,2.8,2019,1,2019-01-01
28,MS,453,se201901,5.0,2019,1,2019-01-01
28,MS,TOTAL,se201901,1.5,2019,1,2019-01-01
29,MO,441,se201901,3.1,2019,1,2019-01-01
29,MO,442,se201901,4.5,2019,1,2019-01-01
29,MO,443,se201901,7.9,2019,1,2019-01-01
29,MO,444,se201901,3.2,2019,1,2019-01-01
29,MO,445,se201901,3.4,2019,1,2019-01-01
29,MO,446,se201901,1.7,2019,1,2019-01-01
29,MO,447,se201901,2.2,2019,1,2019-01-01
29,MO,448,se201901,3.6,2019,1,2019-01-01
29,MO,451,se201901,10.4,2019,1,2019-01-01
29,MO,452,se201901,1.9,2019,1,2019-01-01
29,MO,453,se201901,3.8,2019,1,2019-01-01
29,MO,TOTAL,se201901,1.1,2019,1,2019-01-01
30,MT,441,se201901,7.5,2019,1,2019-01-01
30,MT,442,se201901,9.0,2019,1,2019-01-01
30,MT,443,se201901,17.3,2019,1,2019-01-01
30,MT,444,se201901,6.1,2019,1,2019-01-01
30,MT,445,se201901,6.3,2019,1,2019-01-01
30,MT,446,se201901,5.1,2019,1,2019-01-01
30,MT,447,se201901,4.1,2019,1,2019-01-01
30,MT,448,se201901,6.1,2019,1,2019-01-01
30,MT,451,se201901,10.8,2019,1,2019-01-01
30,MT,452,se201901,7.0,2019,1,2019-01-01
30,MT,453,se201901,8.0,2019,1,2019-01-01
30,MT,TOTAL,se201901,2.6,2019,1,2019-01-01
31,NE,441,se201901,8.5,2019,1,2019-01-01
31,NE,442,se201901,22.7,2019,1,2019-01-01
31,NE,443,se201901,20.5,2019,1,2019-01-01
31,NE,444,se201901,5.9,2019,1,2019-01-01
31,NE,445,se201901,7.0,2019,1,2019-01-01
31,NE,446,se201901,3.3,2019,1,2019-01-01
31,NE,447,se201901,3.5,2019,1,2019-01-01
31,NE,448,se201901,6.7,2019,1,2019-01-01
31,NE,451,se201901,13.3,2019,1,2019-01-01
31,NE,452,se201901,3.5,2019,1,2019-01-01
31,NE,453,se201901,5.6,2019,1,2019-01-01
31,NE,TOTAL,se201901,2.5,2019,1,2019-01-01
32,NV,441,se201901,4.8,2019,1,2019-01-01
32,NV,442,se201901,9.0,2019,1,2019-01-01
32,NV,443,se201901,10.3,2019,1,2019-01-01
32,NV,444,se201901,5.0,2019,1,2019-01-01
32,NV,445,se201901,4.3,2019,1,2019-01-01
32,NV,446,se201901,2.4,2019,1,2019-01-01
32,NV,447,se201901,4.2,2019,1,2019-01-01
32,NV,448,se201901,3.8,2019,1,2019-01-01
32,NV,451,se201901,9.6,2019,1,2019-01-01
32,NV,452,se201901,4.2,2019,1,2019-01-01
32,NV,453,se201901,5.3,2019,1,2019-01-01
32,NV,TOTAL,se201901,1.8,2019,1,2019-01-01
33,NH,441,se201901,6.3,2019,1,2019-01-01
33,NH,442,se201901,8.3,2019,1,2019-01-01
33,NH,443,se201901,12.2,2019,1,2019-01-01
33,NH,444,se201901,5.6,2019,1,2019-01-01
33,NH,445,se201901,4.0,2019,1,2019-01-01
33,NH,446,se201901,2.3,2019,1,2019-01-01
